Advice (English),Hindi,Bengali,Marathi,Telugu,Tamil,Gujarati,Assamese,Kannada,Malayalam,Punjabi
Take your medicine twice a day after meals.अपने भोजन के बाद दिन में दो बार अपना दवा लें।,,,,,"உங்கள் மருந்தைப் நாள் ஒன்றுக்கு இரண்டு முறை, உணவிற்குப் பிறகு எடுத்துக்கொள்ளவும்.",,,,ഭക്ഷണത്തിനുശേഷം ദിവസത്തിൽ രണ്ടു തവണ നിങ്ങളുടെ മരുന്നു എടുക്കുക.,
Drink plenty of water.,,,,,,,,,,
Get at least 8 hours of sleep every night.,,,,,,,,,,
Avoid oily and spicy food.,,,,,,,,,,
Exercise regularly for at least 30 minutes.,,,,,,,,,,
Do not skip breakfast.,,,,,,,,,,
Reduce your sugar intake.,,,,,,,,,,
Monitor your blood pressure daily.,,,,,,,,,,
Follow up after one week.,,,,,,,,,,
Avoid smoking and alcohol.,,,,,,,,,,
